adset_id,campaign_id,client_id,platform,adset_name,audience_type,status,daily_budget,optimization_goal,targeting_summary
MA_000000001,MC_00000001,CL_0001,Meta,Site Visitors - 35+,Site Visitors,active,119.21,traffic,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""none""}"
MA_000000002,MC_00000001,CL_0001,Meta,High LTV - Top States,High LTV,active,97.15,leads,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
MA_000000003,MC_00000001,CL_0001,Meta,Interest - 35+,Interest,active,92.34,purchases,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""none""}"
MA_000000004,MC_00000002,CL_0001,Meta,Lookalike - 18-34,Lookalike,active,146.22,leads,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""none""}"
MA_000000005,MC_00000002,CL_0001,Meta,Recent Buyers - US,Recent Buyers,learning,226.22,traffic,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000006,MC_00000003,CL_0001,Meta,High LTV - US,High LTV,paused,78.71,traffic,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""none""}"
MA_000000007,MC_00000003,CL_0001,Meta,Interest - US,Interest,limited,61.99,leads,"{""geo"": ""US"", ""age"": ""25-64"", ""exclusions"": ""none""}"
MA_000000008,MC_00000003,CL_0001,Meta,High LTV - 25-44,High LTV,active,91.60,leads,"{""geo"": ""US"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
MA_000000009,MC_00000004,CL_0001,Meta,Site Visitors - US,Site Visitors,active,73.74,value,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""none""}"
MA_000000010,MC_00000004,CL_0001,Meta,Lookalike - Top States,Lookalike,active,97.37,value,"{""geo"": ""US"", ""age"": ""25-64"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000011,GC_00000005,CL_0001,Google,Interest - 25-44,Interest,active,168.79,value,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000012,GC_00000005,CL_0001,Google,Interest - US,Interest,active,175.33,traffic,"{""geo"": ""US"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000013,GC_00000005,CL_0001,Google,Interest - 25-44,Interest,limited,171.53,value,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
GA_000000014,GC_00000005,CL_0001,Google,Broad - Top States,Broad,active,160.00,value,"{""geo"": ""English-speaking"", ""age"": ""25-64"", ""exclusions"": ""none""}"
GA_000000015,GC_00000005,CL_0001,Google,Interest - 18-34,Interest,active,219.63,traffic,"{""geo"": ""English-speaking"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000016,GC_00000006,CL_0001,Google,Cart Abandoners - 35+,Cart Abandoners,active,90.62,value,"{""geo"": ""Top 10 states"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000017,GC_00000006,CL_0001,Google,Interest - 18-34,Interest,active,162.82,value,"{""geo"": ""Top 10 states"", ""age"": ""25-64"", ""exclusions"": ""none""}"
GA_000000018,GC_00000006,CL_0001,Google,Broad - 35+,Broad,active,93.81,leads,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
GA_000000019,GC_00000007,CL_0001,Google,Site Visitors - Top States,Site Visitors,paused,76.78,traffic,"{""geo"": ""English-speaking"", ""age"": ""21-54"", ""exclusions"": ""none""}"
