campaign_id,client_id,platform,campaign_name,objective,status,daily_budget,bid_strategy,attribution_window,created_at
MC_00000001,CL_0001,Meta,Brand Search - Fitness - Scale,Brand Search,active,405.43,cost_cap,1d_click,2026-01-08 03:55:11
MC_00000002,CL_0001,Meta,Retargeting - Fitness - Promo,Retargeting,active,625.91,cost_cap,data_driven,2026-02-16 04:08:33
MC_00000003,CL_0001,Meta,Shopping - Fitness - Q2,Shopping,active,272.19,maximize_conversions,data_driven,2025-09-29 15:46:28
MC_00000004,CL_0001,Meta,Shopping - Fitness - Promo,Shopping,active,295.22,target_roas,7d_click_1d_view,2025-12-14 08:30:13
GC_00000005,CL_0001,Google,Lookalike - Fitness - Scale,Lookalike,active,733.23,maximize_conversions,7d_click,2025-08-28 17:52:11
GC_00000006,CL_0001,Google,Lookalike - Fitness - Q2,Lookalike,active,425.11,lowest_cost,7d_click,2025-11-30 15:28:02
GC_00000007,CL_0001,Google,Prospecting - Fitness - Promo,Prospecting,active,300.05,maximize_conversions,data_driven,2025-12-18 09:27:26
GC_00000008,CL_0001,Google,Shopping - Fitness - Scale,Shopping,active,28.78,maximize_conversions,7d_click,2025-12-01 19:31:05
GC_00000009,CL_0001,Google,Brand Search - Fitness - Promo,Brand Search,paused,765.23,cost_cap,data_driven,2025-09-02 01:51:31
GC_00000010,CL_0001,Google,Prospecting - Fitness - Evergreen,Prospecting,active,47.57,lowest_cost,7d_click,2025-10-12 18:06:41
GC_00000011,CL_0001,Google,Prospecting - Fitness - Scale,Prospecting,active,613.41,cost_cap,7d_click,2025-10-01 18:10:42
GC_00000012,CL_0001,Google,Winback - Fitness - Promo,Winback,active,667.43,maximize_conversions,7d_click_1d_view,2025-08-13 16:40:36
MC_00000013,CL_0002,Meta,Prospecting - Home Goods - Evergreen,Prospecting,active,2038.54,cost_cap,7d_click_1d_view,2025-11-30 02:12:41
MC_00000014,CL_0002,Meta,Prospecting - Home Goods - Scale,Prospecting,active,1590.48,maximize_conversions,data_driven,2025-12-14 16:56:40
MC_00000015,CL_0002,Meta,Retargeting - Home Goods - Scale,Retargeting,active,658.42,lowest_cost,1d_click,2025-07-15 19:58:28
MC_00000016,CL_0002,Meta,Prospecting - Home Goods - Promo,Prospecting,active,711.90,cost_cap,data_driven,2025-10-26 12:55:25
