audience_id,client_id,audience_name,source_system,rule_expression,segment_type,estimated_size,destination_platforms,last_synced_at,sync_status
AUD_00000001,CL_0001,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,195,Meta,2026-04-30 09:17:56,synced
AUD_00000002,CL_0001,High LTV Customers,Shopify,lifetime_value > 500,targeting,47,Meta,2026-03-16 16:23:35,synced
AUD_00000003,CL_0001,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,102,Meta,2026-03-12 04:30:14,synced
AUD_00000004,CL_0001,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,113,Meta,2026-05-05 18:43:47,synced
AUD_00000005,CL_0001,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,58,Google,2026-05-14 05:31:05,pending
AUD_00000006,CL_0001,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,342,"Meta,Google",2026-06-01 23:50:38,synced
AUD_00000007,CL_0001,Recent Refunds,Shopify,refund_created_30d = true,exclusion,67,"Meta,Google",2026-05-01 13:37:29,synced
AUD_00000008,CL_0001,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,330,Google,2026-05-17 03:10:34,synced
AUD_00000009,CL_0002,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,353,Meta,2026-03-24 13:14:44,synced
AUD_00000010,CL_0002,High LTV Customers,Shopify,lifetime_value > 500,targeting,187,Meta,2026-05-26 17:53:20,synced
AUD_00000011,CL_0002,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,279,"Meta,Google",2026-05-30 06:25:56,synced
AUD_00000012,CL_0002,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,84,Google,2026-05-05 10:41:46,synced
AUD_00000013,CL_0002,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,150,"Meta,Google",2026-06-08 03:17:44,synced
AUD_00000014,CL_0002,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,140,Meta,2026-04-30 06:31:40,synced
AUD_00000015,CL_0002,Recent Refunds,Shopify,refund_created_30d = true,exclusion,125,Google,2026-04-05 15:41:48,synced
AUD_00000016,CL_0002,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,342,Google,2026-03-27 10:32:24,synced
AUD_00000017,CL_0003,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,143,Meta,2026-05-16 07:59:42,pending
AUD_00000018,CL_0003,High LTV Customers,Shopify,lifetime_value > 500,targeting,108,Meta,2026-04-10 17:53:27,synced
AUD_00000019,CL_0003,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,54,Meta,2026-04-24 06:28:35,synced
AUD_00000020,CL_0003,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,144,"Meta,Google",2026-03-31 22:48:59,synced
AUD_00000021,CL_0003,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,299,Google,2026-04-09 14:45:15,synced
AUD_00000022,CL_0003,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,324,Google,2026-05-06 04:48:12,synced
AUD_00000023,CL_0003,Recent Refunds,Shopify,refund_created_30d = true,exclusion,316,"Meta,Google",2026-05-31 13:28:46,synced
AUD_00000024,CL_0003,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,297,Meta,2026-03-25 05:36:39,synced
AUD_00000025,CL_0004,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,284,Google,2026-04-26 00:08:22,partial
AUD_00000026,CL_0004,High LTV Customers,Shopify,lifetime_value > 500,targeting,240,Meta,2026-03-19 02:55:46,synced
AUD_00000027,CL_0004,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,112,Google,2026-05-23 03:28:41,synced
AUD_00000028,CL_0004,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,93,"Meta,Google",2026-04-27 03:12:18,synced
AUD_00000029,CL_0004,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,323,"Meta,Google",2026-04-13 15:33:43,synced
AUD_00000030,CL_0004,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,290,"Meta,Google",2026-05-13 05:55:08,synced
AUD_00000031,CL_0004,Recent Refunds,Shopify,refund_created_30d = true,exclusion,304,Meta,2026-04-23 18:20:16,synced
AUD_00000032,CL_0004,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,171,Google,2026-05-19 17:49:27,synced
AUD_00000033,CL_0005,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,302,Google,2026-04-05 07:06:40,synced
AUD_00000034,CL_0005,High LTV Customers,Shopify,lifetime_value > 500,targeting,178,Meta,2026-04-04 01:57:29,pending
AUD_00000035,CL_0005,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,321,"Meta,Google",2026-05-17 22:47:29,synced
AUD_00000036,CL_0005,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,304,Meta,2026-05-21 08:02:09,partial
AUD_00000037,CL_0005,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,315,Google,2026-04-07 06:32:54,pending
AUD_00000038,CL_0005,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,258,Google,2026-06-06 16:23:11,synced
AUD_00000039,CL_0005,Recent Refunds,Shopify,refund_created_30d = true,exclusion,177,Google,2026-04-06 07:45:43,synced
AUD_00000040,CL_0005,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,104,Google,2026-04-09 11:48:26,synced
AUD_00000041,CL_0006,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,129,Meta,2026-04-18 16:21:54,synced
AUD_00000042,CL_0006,High LTV Customers,Shopify,lifetime_value > 500,targeting,180,Meta,2026-03-21 01:58:35,synced
AUD_00000043,CL_0006,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,318,"Meta,Google",2026-03-12 06:06:04,synced
AUD_00000044,CL_0006,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,367,Meta,2026-04-25 15:38:31,synced
AUD_00000045,CL_0006,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,145,"Meta,Google",2026-04-11 03:38:23,partial
AUD_00000046,CL_0006,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,151,Meta,2026-05-27 10:38:09,synced
