edge_id,source_node_type,source_node_id,relationship,target_node_type,target_node_id,weight,evidence_count,last_updated_at
KG_000000000001,Client,CL_0001,similar_to,Client,CL_0019,0.7248,25,2026-06-10 01:15:13
KG_000000000002,Client,CL_0002,similar_to,Client,CL_0038,0.6038,21,2026-06-10 01:15:13
KG_000000000003,Client,CL_0002,similar_to,Client,CL_0040,0.7225,19,2026-06-10 01:15:13
KG_000000000004,Client,CL_0003,similar_to,Client,CL_0033,0.6583,22,2026-06-10 01:15:13
KG_000000000005,Client,CL_0003,similar_to,Client,CL_0017,0.6946,4,2026-06-10 01:15:13
KG_000000000006,Client,CL_0004,similar_to,Client,CL_0030,0.6942,24,2026-06-10 01:15:13
KG_000000000007,Client,CL_0006,similar_to,Client,CL_0056,0.6854,25,2026-06-10 01:15:13
KG_000000000008,Client,CL_0009,similar_to,Client,CL_0023,0.8848,3,2026-06-10 01:15:13
KG_000000000009,Client,CL_0011,similar_to,Client,CL_0049,0.9347,18,2026-06-10 01:15:13
KG_000000000010,Client,CL_0011,similar_to,Client,CL_0053,0.6838,16,2026-06-10 01:15:13
KG_000000000011,Client,CL_0011,similar_to,Client,CL_0020,0.7614,6,2026-06-10 01:15:13
KG_000000000012,Client,CL_0012,similar_to,Client,CL_0051,0.7432,24,2026-06-10 01:15:13
KG_000000000013,Client,CL_0013,similar_to,Client,CL_0015,0.8365,23,2026-06-10 01:15:13
KG_000000000014,Client,CL_0013,similar_to,Client,CL_0031,0.5637,18,2026-06-10 01:15:13
KG_000000000015,Client,CL_0014,similar_to,Client,CL_0018,0.6729,22,2026-06-10 01:15:13
KG_000000000016,Client,CL_0015,similar_to,Client,CL_0013,0.6659,15,2026-06-10 01:15:13
KG_000000000017,Client,CL_0015,similar_to,Client,CL_0031,0.6988,9,2026-06-10 01:15:13
KG_000000000018,Client,CL_0017,similar_to,Client,CL_0003,0.5534,9,2026-06-10 01:15:13
KG_000000000019,Client,CL_0017,similar_to,Client,CL_0033,0.7486,21,2026-06-10 01:15:13
KG_000000000020,Client,CL_0018,similar_to,Client,CL_0014,0.8307,9,2026-06-10 01:15:13
KG_000000000021,Client,CL_0019,similar_to,Client,CL_0001,0.7286,25,2026-06-10 01:15:13
KG_000000000022,Client,CL_0020,similar_to,Client,CL_0053,0.9348,17,2026-06-10 01:15:13
