product_id,client_id,sku,product_name,product_category,price,margin_pct,active_flag
P_CL_0001_001,CL_0001,0001-001-A83,Daily Band,Fitness,40.03,0.4039,true
P_CL_0001_002,CL_0001,0001-002-I71,Premium Band,Fitness,27.74,0.4744,true
P_CL_0001_003,CL_0001,0001-003-Z82,Daily Mat,Fitness,39.30,0.3270,true
P_CL_0001_004,CL_0001,0001-004-T86,Pro Bottle,Fitness,31.18,0.3551,true
P_CL_0001_005,CL_0001,0001-005-N49,Pro Roller,Fitness,29.60,0.4342,true
P_CL_0001_006,CL_0001,0001-006-G90,Classic Mat,Fitness,46.47,0.3629,true
P_CL_0001_007,CL_0001,0001-007-O98,Pro Band,Fitness,59.03,0.4040,true
P_CL_0001_008,CL_0001,0001-008-W68,Premium Dumbbell,Fitness,38.50,0.4475,false
P_CL_0001_009,CL_0001,0001-009-R38,Ultra Bottle,Fitness,49.49,0.4917,true
P_CL_0001_010,CL_0001,0001-010-Z49,Pro Mat,Fitness,61.30,0.4598,true
P_CL_0001_011,CL_0001,0001-011-M44,Eco Dumbbell,Fitness,37.34,0.4180,true
P_CL_0001_012,CL_0001,0001-012-N51,Pro Bottle,Fitness,69.05,0.3601,true
P_CL_0001_013,CL_0001,0001-013-I83,Core Bottle,Fitness,59.21,0.4626,true
P_CL_0001_014,CL_0001,0001-014-I33,Pro Bottle,Fitness,41.91,0.3972,true
P_CL_0001_015,CL_0001,0001-015-D30,Essential Mat,Fitness,37.28,0.3923,true
P_CL_0002_001,CL_0002,0002-001-R14,Signature Planter,Home Goods,36.89,0.5471,true
P_CL_0002_002,CL_0002,0002-002-A94,Eco Lamp,Home Goods,20.01,0.6219,true
P_CL_0002_003,CL_0002,0002-003-Y73,Signature Candle,Home Goods,51.03,0.6815,true
P_CL_0002_004,CL_0002,0002-004-P25,Core Candle,Home Goods,50.48,0.7241,true
P_CL_0002_005,CL_0002,0002-005-J80,Core Throw,Home Goods,53.66,0.6400,true
P_CL_0002_006,CL_0002,0002-006-P47,Eco Lamp,Home Goods,54.46,0.6706,true
P_CL_0002_007,CL_0002,0002-007-H68,Eco Planter,Home Goods,41.50,0.5584,true
P_CL_0002_008,CL_0002,0002-008-I63,Essential Candle,Home Goods,53.54,0.7163,true
P_CL_0002_009,CL_0002,0002-009-J85,Pro Lamp,Home Goods,34.50,0.7293,true
P_CL_0002_010,CL_0002,0002-010-Y79,Performance Throw,Home Goods,32.99,0.6206,true
P_CL_0002_011,CL_0002,0002-011-H83,Performance Throw,Home Goods,30.17,0.5762,true
P_CL_0002_012,CL_0002,0002-012-M59,Ultra Lamp,Home Goods,25.32,0.6286,true
P_CL_0002_013,CL_0002,0002-013-K22,Signature Candle,Home Goods,33.15,0.5494,true
P_CL_0002_014,CL_0002,0002-014-E19,Signature Lamp,Home Goods,22.40,0.6858,true
P_CL_0002_015,CL_0002,0002-015-U20,Essential Candle,Home Goods,42.34,0.7000,true
P_CL_0003_001,CL_0003,0003-001-P79,Core Jacket,Apparel,20.84,0.4404,true
P_CL_0003_002,CL_0003,0003-002-X21,Performance Jogger,Apparel,19.48,0.5126,true
P_CL_0003_003,CL_0003,0003-003-B51,Core Tee,Apparel,45.61,0.3756,true
P_CL_0003_004,CL_0003,0003-004-N82,Ultra Hoodie,Apparel,39.55,0.3509,true
P_CL_0003_005,CL_0003,0003-005-E39,Signature Jacket,Apparel,49.98,0.4445,true
P_CL_0003_006,CL_0003,0003-006-O46,Eco Tee,Apparel,68.47,0.3485,true
P_CL_0003_007,CL_0003,0003-007-W42,Signature Jogger,Apparel,28.76,0.4860,true
P_CL_0003_008,CL_0003,0003-008-D40,Performance Jacket,Apparel,72.50,0.4313,true
P_CL_0003_009,CL_0003,0003-009-A82,Core Jogger,Apparel,88.30,0.4990,true
P_CL_0003_010,CL_0003,0003-010-H87,Essential Jogger,Apparel,32.55,0.3607,true
P_CL_0003_011,CL_0003,0003-011-E90,Premium Jogger,Apparel,43.14,0.4976,true
P_CL_0003_012,CL_0003,0003-012-B84,Essential Jogger,Apparel,25.08,0.4634,true
P_CL_0003_013,CL_0003,0003-013-Z79,Essential Jogger,Apparel,53.28,0.4231,true
P_CL_0003_014,CL_0003,0003-014-P47,Essential Hoodie,Apparel,68.75,0.4777,true
P_CL_0003_015,CL_0003,0003-015-X96,Performance Tee,Apparel,96.69,0.5104,true
P_CL_0004_001,CL_0004,0004-001-M11,Daily Harness,Pet Supplies,94.72,0.7757,true
P_CL_0004_002,CL_0004,0004-002-D96,Classic Harness,Pet Supplies,83.91,0.7627,true
P_CL_0004_003,CL_0004,0004-003-T38,Premium Bowl,Pet Supplies,44.84,0.7955,true
P_CL_0004_004,CL_0004,0004-004-B48,Signature Harness,Pet Supplies,67.20,0.6916,true
P_CL_0004_005,CL_0004,0004-005-O57,Eco Bowl,Pet Supplies,100.41,0.7522,true
P_CL_0004_006,CL_0004,0004-006-T62,Daily Toy,Pet Supplies,36.65,0.6749,true
P_CL_0004_007,CL_0004,0004-007-H56,Premium Bed,Pet Supplies,47.03,0.8646,true
P_CL_0004_008,CL_0004,0004-008-O21,Classic Harness,Pet Supplies,97.92,0.7967,true
P_CL_0004_009,CL_0004,0004-009-K41,Ultra Treat,Pet Supplies,150.13,0.8258,true
P_CL_0004_010,CL_0004,0004-010-K28,Pro Bowl,Pet Supplies,97.55,0.6690,true
P_CL_0004_011,CL_0004,0004-011-R42,Ultra Toy,Pet Supplies,84.97,0.6904,true
P_CL_0004_012,CL_0004,0004-012-K12,Ultra Toy,Pet Supplies,113.87,0.7215,true
