order_id,client_id,product_id,sku,quantity,item_price,item_margin_pct
SO_000000001,CL_0001,P_CL_0001_010,0001-010-Z49,1,61.30,0.4598
SO_000000002,CL_0001,P_CL_0001_010,0001-010-Z49,1,61.30,0.4598
SO_000000003,CL_0001,P_CL_0001_005,0001-005-N49,1,29.60,0.4342
SO_000000003,CL_0001,P_CL_0001_015,0001-015-D30,1,37.28,0.3923
SO_000000004,CL_0001,P_CL_0001_008,0001-008-W68,1,38.50,0.4475
SO_000000005,CL_0001,P_CL_0001_013,0001-013-I83,2,59.21,0.4626
SO_000000006,CL_0001,P_CL_0001_013,0001-013-I83,1,59.21,0.4626
SO_000000007,CL_0001,P_CL_0001_002,0001-002-I71,1,27.74,0.4744
SO_000000008,CL_0001,P_CL_0001_008,0001-008-W68,2,38.50,0.4475
SO_000000008,CL_0001,P_CL_0001_011,0001-011-M44,1,37.34,0.4180
SO_000000009,CL_0001,P_CL_0001_007,0001-007-O98,1,59.03,0.4040
SO_000000010,CL_0001,P_CL_0001_002,0001-002-I71,1,27.74,0.4744
SO_000000010,CL_0001,P_CL_0001_004,0001-004-T86,1,31.18,0.3551
SO_000000011,CL_0001,P_CL_0001_007,0001-007-O98,1,59.03,0.4040
SO_000000012,CL_0001,P_CL_0001_015,0001-015-D30,1,37.28,0.3923
SO_000000012,CL_0001,P_CL_0001_010,0001-010-Z49,1,61.30,0.4598
SO_000000012,CL_0001,P_CL_0001_002,0001-002-I71,2,27.74,0.4744
SO_000000012,CL_0001,P_CL_0001_014,0001-014-I33,1,41.91,0.3972
SO_000000013,CL_0001,P_CL_0001_013,0001-013-I83,1,59.21,0.4626
SO_000000014,CL_0001,P_CL_0001_012,0001-012-N51,2,69.05,0.3601
SO_000000014,CL_0001,P_CL_0001_001,0001-001-A83,2,40.03,0.4039
SO_000000015,CL_0001,P_CL_0001_003,0001-003-Z82,1,39.30,0.3270
SO_000000016,CL_0001,P_CL_0001_014,0001-014-I33,1,41.91,0.3972
SO_000000016,CL_0001,P_CL_0001_015,0001-015-D30,1,37.28,0.3923
SO_000000017,CL_0001,P_CL_0001_002,0001-002-I71,1,27.74,0.4744
SO_000000018,CL_0001,P_CL_0001_007,0001-007-O98,1,59.03,0.4040
SO_000000019,CL_0001,P_CL_0001_005,0001-005-N49,1,29.60,0.4342
SO_000000020,CL_0001,P_CL_0001_011,0001-011-M44,2,37.34,0.4180
SO_000000021,CL_0001,P_CL_0001_015,0001-015-D30,1,37.28,0.3923
SO_000000021,CL_0001,P_CL_0001_004,0001-004-T86,1,31.18,0.3551
SO_000000021,CL_0001,P_CL_0001_013,0001-013-I83,1,59.21,0.4626
SO_000000021,CL_0001,P_CL_0001_003,0001-003-Z82,1,39.30,0.3270
SO_000000022,CL_0001,P_CL_0001_012,0001-012-N51,2,69.05,0.3601
SO_000000023,CL_0001,P_CL_0001_003,0001-003-Z82,2,39.30,0.3270
