order_id,client_id,customer_id,email_hash,order_ts,order_value,discount_used,discount_amount,payment_status,fulfillment_status,sales_channel
SO_000000001,CL_0001,CU_CL_0001_000750,em_3085b204481e420025ac,2026-06-07 01:31:21,61.30,false,0.00,paid,fulfilled,online_store
SO_000000002,CL_0001,CU_CL_0001_000582,em_052f4958d7660b6484af,2026-03-31 06:24:17,61.30,false,0.00,paid,partial,online_store
SO_000000003,CL_0001,CU_CL_0001_000346,em_12757c16de9d26477960,2026-05-04 06:38:46,66.88,false,0.00,paid,fulfilled,online_store
SO_000000004,CL_0001,CU_CL_0001_000359,em_40f8de90feeb0b0f09fd,2026-05-27 00:25:55,38.50,false,0.00,failed,unfulfilled,online_store
SO_000000005,CL_0001,CU_CL_0001_000257,em_1bad2f3dc3505e121895,2026-05-05 00:14:46,118.42,false,0.00,paid,fulfilled,online_store
SO_000000006,CL_0001,CU_CL_0001_000772,em_66282f5fd9276a7742f0,2026-05-18 04:02:51,59.21,false,0.00,paid,fulfilled,online_store
SO_000000007,CL_0001,CU_CL_0001_000736,em_061d0d716d2ac80d2944,2026-05-28 10:04:47,27.74,false,0.00,paid,fulfilled,online_store
SO_000000008,CL_0001,CU_CL_0001_000673,em_6dd3e9509395065ada72,2026-05-04 00:08:27,114.34,false,0.00,paid,fulfilled,online_store
SO_000000009,CL_0001,CU_CL_0001_000708,em_3ed9db7c189c54ab4a87,2026-04-25 01:47:32,59.03,false,0.00,paid,fulfilled,online_store
SO_000000010,CL_0001,CU_CL_0001_000161,em_39430566539ad89cf5c8,2026-04-02 01:04:44,58.92,false,0.00,paid,fulfilled,online_store
SO_000000011,CL_0001,CU_CL_0001_000656,em_dc528d696b6dc22477aa,2026-03-26 03:02:52,50.53,true,8.50,paid,fulfilled,online_store
SO_000000012,CL_0001,CU_CL_0001_000270,em_3288775e7f4b85cefdef,2026-05-22 22:29:42,195.97,false,0.00,paid,fulfilled,online_store
SO_000000013,CL_0001,CU_CL_0001_000262,em_c97aa9f28e728b4c79da,2026-03-26 00:16:17,51.17,true,8.04,paid,fulfilled,online_store
SO_000000014,CL_0001,CU_CL_0001_000665,em_56c264671182e745f46c,2026-05-13 07:43:44,218.16,false,0.00,paid,fulfilled,shop_app
SO_000000015,CL_0001,CU_CL_0001_000143,em_4cc21174987f34df3d5f,2026-06-01 15:53:30,32.91,true,6.39,paid,fulfilled,online_store
SO_000000016,CL_0001,CU_CL_0001_000106,em_0fab7e4b9ef665942393,2026-03-25 14:20:53,62.85,true,16.34,paid,fulfilled,online_store
SO_000000017,CL_0001,CU_CL_0001_000151,em_f905d9fe85631f83750a,2026-04-03 02:30:29,27.74,false,0.00,paid,fulfilled,online_store
SO_000000018,CL_0001,CU_CL_0001_000071,em_57f2bbca934195daac64,2026-04-10 17:36:39,59.03,false,0.00,paid,fulfilled,online_store
SO_000000019,CL_0001,CU_CL_0001_000682,em_3a799750bd5eb03e0965,2026-05-25 07:23:59,23.01,true,6.59,paid,fulfilled,online_store
SO_000000020,CL_0001,CU_CL_0001_000615,em_1e4269aaeb36c1e221c9,2026-04-17 00:10:33,74.68,false,0.00,paid,fulfilled,online_store
SO_000000021,CL_0001,CU_CL_0001_000429,em_c91850f82521866393d2,2026-05-15 08:19:20,166.97,false,0.00,paid,fulfilled,online_store
SO_000000022,CL_0001,CU_CL_0001_000701,em_132c0dc599551a4796f9,2026-06-07 13:26:56,138.10,false,0.00,paid,fulfilled,online_store
SO_000000023,CL_0001,CU_CL_0001_000239,em_e4e03fe4bed8aa819d2a,2026-03-13 13:05:52,74.65,true,3.95,paid,fulfilled,online_store
SO_000000024,CL_0001,CU_CL_0001_000158,em_24aeb5b7a069baa89817,2026-04-04 06:22:48,37.34,false,0.00,paid,fulfilled,online_store
SO_000000025,CL_0001,CU_CL_0001_000733,em_2ea1bc6a388f1295dc50,2026-03-27 09:17:34,37.34,false,0.00,paid,fulfilled,online_store
SO_000000026,CL_0001,CU_CL_0001_000098,em_397a0d8a431d503a01e6,2026-05-09 18:31:53,27.74,false,0.00,paid,fulfilled,online_store
SO_000000027,CL_0001,CU_CL_0001_000298,em_42a04c7af80c8aa49198,2026-04-17 08:05:28,62.36,false,0.00,paid,fulfilled,online_store
